PR.BCTDC:CYCLE_INTENSITY,nxcals_timestamp,nxcals_variable_name,nxcals_timestamp2
0,1668760837900000000,PR.BCTDC:CYCLE_INTENSITY,1668760840300000000
1,1668760906300000000,PR.BCTDC:CYCLE_INTENSITY,1668760908700000000
2,1668760974700000000,PR.BCTDC:CYCLE_INTENSITY,1668760977100000000
3,1668761043100000000,PR.BCTDC:CYCLE_INTENSITY,1668761045500000000
4,1668761316700000000,PR.BCTDC:CYCLE_INTENSITY,1668761319100000000
5,1668762137500000000,PR.BCTDC:CYCLE_INTENSITY,1668762139900000000
6,1668762205900000000,PR.BCTDC:CYCLE_INTENSITY,1668762208300000000
7,1668762274300000000,PR.BCTDC:CYCLE_INTENSITY,1668762276700000000
8,1668762342700000000,PR.BCTDC:CYCLE_INTENSITY,1668762345100000000
9,1668762411100000000,PR.BCTDC:CYCLE_INTENSITY,1668762413500000000
10,1668762479500000000,PR.BCTDC:CYCLE_INTENSITY,1668762481900000000
11,1668762547900000000,PR.BCTDC:CYCLE_INTENSITY,1668762550300000000
12,1668762616300000000,PR.BCTDC:CYCLE_INTENSITY,1668762618700000000
13,1668762684700000000,PR.BCTDC:CYCLE_INTENSITY,1668762687100000000
14,1668762753100000000,PR.BCTDC:CYCLE_INTENSITY,1668762755500000000
15,1668762821500000000,PR.BCTDC:CYCLE_INTENSITY,1668762823900000000
16,1668762889900000000,PR.BCTDC:CYCLE_INTENSITY,1668762892300000000
17,1668762958300000000,PR.BCTDC:CYCLE_INTENSITY,1668762960700000000
18,1668763026700000000,PR.BCTDC:CYCLE_INTENSITY,1668763029100000000
19,1668763095100000000,PR.BCTDC:CYCLE_INTENSITY,1668763097500000000
20,1668763163500000000,PR.BCTDC:CYCLE_INTENSITY,1668763165900000000
21,1668763231900000000,PR.BCTDC:CYCLE_INTENSITY,1668763234300000000
22,1668763300300000000,PR.BCTDC:CYCLE_INTENSITY,1668763302700000000
23,1668763368700000000,PR.BCTDC:CYCLE_INTENSITY,1668763371100000000
24,1668763437100000000,PR.BCTDC:CYCLE_INTENSITY,1668763439500000000
25,1668763505500000000,PR.BCTDC:CYCLE_INTENSITY,1668763507900000000
26,1668763573900000000,PR.BCTDC:CYCLE_INTENSITY,1668763576300000000
27,1668763642300000000,PR.BCTDC:CYCLE_INTENSITY,1668763644700000000
28,1668763699900000000,PR.BCTDC:CYCLE_INTENSITY,1668763702300000000
29,1668763753900000000,PR.BCTDC:CYCLE_INTENSITY,1668763756300000000
30,1668763807900000000,PR.BCTDC:CYCLE_INTENSITY,1668763810300000000
31,1668763861900000000,PR.BCTDC:CYCLE_INTENSITY,1668763864300000000
32,1668763915900000000,PR.BCTDC:CYCLE_INTENSITY,1668763918300000000
33,1668763969900000000,PR.BCTDC:CYCLE_INTENSITY,1668763972300000000
34,1668764023900000000,PR.BCTDC:CYCLE_INTENSITY,1668764026300000000
35,1668764077900000000,PR.BCTDC:CYCLE_INTENSITY,1668764080300000000
